Type,Date_Installation,Frequence,Wilaya,Ville
3G,2014-11-04,700,Chlef,Ville_5_Chle
4G,2016-07-20,2600,Annaba,Ville_1_Anna
3G,2017-04-19,2600,SidiBelAbbes,Ville_6_Sidi
3G,2016-07-17,800,Constantine,Ville_3_Cons
4G,2020-08-10,2600,Tebessa,Ville_2_Tebe
4G,2019-05-05,700,Annaba,Ville_4_Anna
3G,2016-02-06,800,SoukAhras ,Ville_6_Souk
3G,2020-04-10,800,Blida,Ville_8_Blid
2G,2021-09-27,2600,AinTemouchent,Ville_6_AinT
4G,2019-10-30,1800,Tebessa,Ville_1_Tebe
4G,2020-11-22,2600,Bordj Bou Arreridj,Ville_8_Bord
3G,2020-12-02,2100,ElOued,Ville_2_ElOu
3G,2017-09-13,1800,Mascara,Ville_6_Masc
3G,2015-07-17,700,Constantine,Ville_4_Cons
4G,2018-12-12,700,Ghardaia,Ville_8_Ghar
3G,2017-09-28,800,Ouargla,Ville_2_Ouar
4G,2016-07-31,2100,Ghardaia,Ville_1_Ghar
3G,2019-08-17,1800,Oran,Ville_8_Oran
4G,2014-12-21,1800,Skikda,Ville_2_Skik
4G,2019-11-28,2100,SoukAhras ,Ville_5_Souk
4G,2016-11-15,2100,SoukAhras ,Ville_5_Souk
4G,2019-01-26,700,Constantine,Ville_2_Cons
2G,2020-04-23,700,Jijel,Ville_4_Jije
2G,2015-02-21,2100,Medea,Ville_8_Mede
2G,2019-10-18,2600,Boumerdes,Ville_6_Boum
4G,2015-11-23,2100,Djelfa,Ville_6_Djel
2G,2022-06-04,700,Setif,Ville_6_Seti
3G,2017-12-25,1800,Djelfa,Ville_3_Djel
4G,2019-09-23,1800,Ouargla,Ville_5_Ouar
2G,2016-08-22,800,Tindouf,Ville_2_Tind
2G,2022-08-22,700,TiziOuzou,Ville_4_Tizi
2G,2018-05-11,700,Laghouat,Ville_1_Lagh
2G,2022-06-16,800,Oran,Ville_3_Oran
4G,2019-07-18,700,Saida,Ville_2_Said
2G,2017-02-24,700,SoukAhras ,Ville_6_Souk
4G,2021-07-15,700,Tlemcen,Ville_4_Tlem
3G,2019-04-28,1800,Guelma ,Ville_4_Guel
4G,2015-02-22,2100,Khenchela,Ville_3_Khen
2G,2016-11-13,2600,Saida,Ville_5_Said
2G,2021-03-23,2600,SoukAhras ,Ville_3_Souk
3G,2020-01-31,2100,Constantine,Ville_6_Cons
4G,2017-03-14,2100,Djelfa,Ville_5_Djel
3G,2019-01-30,1800,Ouargla,Ville_2_Ouar
4G,2015-07-19,700,Djelfa,Ville_2_Djel
4G,2020-02-20,700,ElBayadh,Ville_6_ElBa
4G,2018-11-18,2600,Naama,Ville_1_Naam
4G,2017-12-11,2600,Bordj Bou Arreridj,Ville_2_Bord
3G,2018-10-15,2100,Batna,Ville_4_Batn
2G,2015-01-17,2600,Tamanrasset,Ville_8_Tama
3G,2016-05-27,800,Medea,Ville_6_Mede
4G,2019-08-18,2600,Mascara,Ville_4_Masc
3G,2016-02-14,700,ElOued,Ville_5_ElOu
2G,2020-06-19,700,ElBayadh,Ville_7_ElBa
2G,2022-08-18,800,Bechar,Ville_6_Bech
2G,2015-11-14,2100,Tiaret,Ville_5_Tiar
2G,2021-02-21,700,AinTemouchent,Ville_2_AinT
2G,2019-08-11,700,Chlef,Ville_8_Chle
2G,2022-02-08,2600,Tlemcen,Ville_3_Tlem
4G,2020-02-24,1800,Msila,Ville_3_Msil
3G,2022-08-09,2100,Tiaret,Ville_1_Tiar
2G,2015-11-23,1800,Constantine,Ville_3_Cons
4G,2020-08-25,2600,Setif,Ville_3_Seti
4G,2018-03-27,700,ElOued,Ville_1_ElOu
2G,2021-07-19,1800,Tebessa,Ville_8_Tebe
3G,2019-12-08,1800,Msila,Ville_7_Msil
3G,2018-05-26,700,Setif,Ville_8_Seti
2G,2021-02-18,1800,Mascara,Ville_7_Masc
4G,2015-10-25,700,Tissemsilt,Ville_5_Tiss
4G,2017-10-10,1800,Biskra,Ville_8_Bisk
3G,2019-09-10,2600,ElOued,Ville_6_ElOu
2G,2022-05-30,800,Chlef,Ville_1_Chle
4G,2015-03-03,2600,Oran,Ville_6_Oran
2G,2016-10-14,700,Constantine,Ville_3_Cons
4G,2021-03-02,2600,TiziOuzou,Ville_2_Tizi
4G,2020-08-08,2600,Batna,Ville_8_Batn
2G,2016-10-25,800,Tlemcen,Ville_7_Tlem
4G,2019-04-24,800,Saida,Ville_7_Said
2G,2018-12-22,800,Bechar,Ville_8_Bech
3G,2018-08-09,700,Tindouf,Ville_4_Tind
4G,2018-05-21,2100,Oran,Ville_6_Oran
4G,2017-01-06,2600,Blida,Ville_2_Blid
4G,2019-03-19,800,Saida,Ville_7_Said
2G,2017-08-11,700,Saida,Ville_7_Said
4G,2021-07-04,2600,Illizi,Ville_2_Illi
4G,2015-11-18,800,Tlemcen,Ville_5_Tlem
4G,2020-11-05,1800,Blida,Ville_3_Blid
4G,2021-07-15,1800,Tebessa,Ville_2_Tebe
2G,2020-09-15,1800,Naama,Ville_2_Naam
4G,2021-01-18,800,Naama,Ville_1_Naam
4G,2018-11-28,800,Medea,Ville_5_Mede
3G,2020-11-20,2100,Alger,Ville_2_Alge
4G,2020-05-19,2600,Tindouf,Ville_4_Tind
2G,2018-12-31,1800,Illizi,Ville_4_Illi
2G,2020-03-22,1800,Setif,Ville_8_Seti
2G,2014-10-24,2600,Tiaret,Ville_6_Tiar
3G,2015-08-29,1800,Mila,Ville_2_Mila
4G,2022-02-27,2600,Tipaza ,Ville_3_Tipa
3G,2016-01-13,1800,Tindouf,Ville_7_Tind
2G,2018-05-19,2100,Bejaia,Ville_1_Beja
4G,2020-07-15,2100,Medea,Ville_8_Mede
4G,2016-07-30,2600,Medea,Ville_2_Mede
4G,2019-03-24,2600,Relizane,Ville_8_Reli
3G,2021-02-19,1800,Khenchela,Ville_7_Khen
3G,2015-10-27,1800,Mascara,Ville_2_Masc
4G,2016-10-09,2100,ElOued,Ville_6_ElOu
4G,2017-05-26,1800,SoukAhras ,Ville_2_Souk
2G,2022-01-01,1800,Relizane,Ville_6_Reli
2G,2021-10-06,800,Constantine,Ville_5_Cons
4G,2021-07-06,800,Annaba,Ville_6_Anna
4G,2014-09-25,2100,Tiaret,Ville_4_Tiar
4G,2017-08-05,1800,Biskra,Ville_8_Bisk
3G,2017-09-07,700,Bordj Bou Arreridj,Ville_8_Bord
2G,2018-12-30,2600,Djelfa,Ville_2_Djel
3G,2021-06-15,800,Tamanrasset,Ville_1_Tama
3G,2021-05-16,2100,Chlef,Ville_2_Chle
2G,2020-09-26,2600,Tiaret,Ville_7_Tiar
2G,2019-07-02,2100,Illizi,Ville_4_Illi
3G,2018-01-29,1800,Tindouf,Ville_8_Tind
4G,2021-05-01,800,Setif,Ville_1_Seti
4G,2019-05-19,2100,Constantine,Ville_8_Cons
3G,2015-04-18,2600,Annaba,Ville_2_Anna
4G,2019-05-23,2100,SidiBelAbbes,Ville_4_Sidi
3G,2021-03-10,700,Tipaza ,Ville_2_Tipa
2G,2015-08-09,1800,Mostaganem,Ville_1_Most
3G,2022-02-19,2600,Ain Defla,Ville_2_Ain 
4G,2019-09-24,700,Illizi,Ville_6_Illi
4G,2019-02-21,800,Saida,Ville_4_Said
2G,2016-10-04,2600,Jijel,Ville_8_Jije
3G,2016-07-01,1800,Bejaia,Ville_1_Beja
2G,2020-08-29,800,Khenchela,Ville_8_Khen
4G,2016-06-12,1800,TiziOuzou,Ville_3_Tizi
3G,2020-06-08,700,Relizane,Ville_5_Reli
4G,2019-01-06,2100,Msila,Ville_5_Msil
2G,2019-04-24,2100,Batna,Ville_4_Batn
4G,2017-09-20,2600,SoukAhras ,Ville_8_Souk
3G,2015-08-01,2100,Bouaghi,Ville_7_Boua
2G,2020-09-01,1800,Tipaza ,Ville_7_Tipa
2G,2019-01-10,2100,Ain Defla,Ville_3_Ain 
3G,2019-09-01,700,Relizane,Ville_2_Reli
2G,2016-06-08,2600,Chlef,Ville_3_Chle
3G,2015-10-04,1800,Bejaia,Ville_1_Beja
4G,2017-11-07,2100,Tiaret,Ville_4_Tiar
4G,2021-04-09,1800,SoukAhras ,Ville_5_Souk
2G,2017-11-12,800,AinTemouchent,Ville_3_AinT
4G,2018-04-15,800,Ouargla,Ville_2_Ouar
2G,2014-10-20,1800,ElBayadh,Ville_2_ElBa
3G,2020-06-22,700,Tamanrasset,Ville_4_Tama
2G,2016-03-29,1800,Annaba,Ville_1_Anna
3G,2022-02-08,800,SoukAhras ,Ville_4_Souk
4G,2017-07-20,800,Bechar,Ville_8_Bech
4G,2018-01-21,800,Saida,Ville_6_Said
3G,2017-11-25,700,Msila,Ville_2_Msil
3G,2021-05-02,2100,Tissemsilt,Ville_7_Tiss
3G,2018-10-06,2100,TiziOuzou,Ville_8_Tizi
3G,2015-07-30,1800,SoukAhras ,Ville_2_Souk
2G,2018-09-02,2600,TiziOuzou,Ville_5_Tizi
2G,2020-08-31,2600,Khenchela,Ville_6_Khen
4G,2021-04-22,1800,AinTemouchent,Ville_4_AinT
3G,2017-12-24,700,Batna,Ville_5_Batn
4G,2015-10-10,800,Bouira,Ville_5_Boui
4G,2021-08-11,800,Boumerdes,Ville_5_Boum
2G,2018-05-23,1800,Chlef,Ville_7_Chle
4G,2016-05-24,800,Bechar,Ville_6_Bech
3G,2016-09-27,800,Tipaza ,Ville_5_Tipa
3G,2019-03-06,1800,Skikda,Ville_6_Skik
3G,2017-08-02,2600,ElOued,Ville_4_ElOu
3G,2016-12-05,2600,Ain Defla,Ville_2_Ain 
3G,2018-02-13,700,TiziOuzou,Ville_2_Tizi
4G,2022-06-08,1800,Illizi,Ville_3_Illi
3G,2021-04-21,2600,Mostaganem,Ville_2_Most
3G,2020-09-24,700,Mila,Ville_4_Mila
2G,2019-01-27,2100,Constantine,Ville_7_Cons
3G,2022-06-24,2100,Mostaganem,Ville_4_Most
3G,2018-05-24,1800,Naama,Ville_7_Naam
2G,2016-11-01,800,Setif,Ville_2_Seti
3G,2016-08-13,700,AinTemouchent,Ville_2_AinT
2G,2018-01-27,2600,Mostaganem,Ville_5_Most
3G,2021-01-07,2600,Tebessa,Ville_4_Tebe
4G,2018-09-19,700,Naama,Ville_4_Naam
2G,2015-07-01,2100,Batna,Ville_6_Batn
3G,2017-11-21,2100,Batna,Ville_7_Batn
4G,2021-06-01,2100,Boumerdes,Ville_5_Boum
3G,2017-04-09,2100,Bejaia,Ville_1_Beja
4G,2017-09-08,800,Skikda,Ville_8_Skik
3G,2020-05-07,700,Guelma ,Ville_7_Guel
2G,2018-06-28,800,Skikda,Ville_1_Skik
3G,2021-07-04,2600,Mascara,Ville_6_Masc
2G,2020-12-10,2100,Msila,Ville_2_Msil
2G,2018-05-09,1800,Guelma ,Ville_7_Guel
3G,2018-12-16,2600,Bejaia,Ville_8_Beja
3G,2022-02-17,800,Tamanrasset,Ville_8_Tama
3G,2016-07-23,2600,Batna,Ville_3_Batn
3G,2016-12-09,2100,Chlef,Ville_3_Chle
4G,2022-04-10,2600,Alger,Ville_8_Alge
3G,2015-10-22,2600,Bejaia,Ville_4_Beja
4G,2021-11-07,800,Bejaia,Ville_3_Beja
2G,2020-10-08,1800,Bejaia,Ville_7_Beja
4G,2019-05-22,1800,Ain Defla,Ville_7_Ain 
3G,2020-05-23,2100,Constantine,Ville_8_Cons
3G,2017-01-19,2100,Jijel,Ville_1_Jije
2G,2017-01-24,2600,Annaba,Ville_7_Anna
2G,2018-05-26,700,Mascara,Ville_1_Masc
3G,2019-06-06,2600,Msila,Ville_5_Msil
2G,2019-03-24,700,Saida,Ville_4_Said
3G,2014-10-22,800,Bechar,Ville_4_Bech
2G,2017-08-16,2600,Bouaghi,Ville_8_Boua
4G,2016-01-05,1800,AinTemouchent,Ville_6_AinT
2G,2014-12-05,800,SidiBelAbbes,Ville_4_Sidi
4G,2016-03-24,2100,ElBayadh,Ville_5_ElBa
4G,2015-03-28,2600,Ouargla,Ville_6_Ouar
4G,2019-03-29,2100,Oran,Ville_4_Oran
